year,uniqueid,data_value,low_confidence_limit,high_confidence_limit,populationcount,geolocation,tractfips,boro_code,boro,tract_code
2017,3651000-36047065800,8.6,8.1,9.2,1762,"
,  
(40.6080828277, -73.9312005789)",36047065800,047,Brooklyn,065800
2017,3651000-36085012100,9.1,8.5,9.8,3065,"
,  
(40.6258790172, -74.1096438952)",36085012100,085,Staten Island,012100
2017,3651000-36005024400,9.6,9,10.2,2120,"
,  
(40.8462491872, -73.8575204013)",36005024400,005,Bronx,024400
2017,3651000-36081119100,7.6,7.2,7.9,3273,"
,  
(40.7566650315, -73.8065111277)",36081119100,081,Queens,119100
2017,3651000-36047091200,14,13,15.2,6814,"
,  
(40.6651290341, -73.9076346304)",36047091200,047,Brooklyn,091200
2017,3651000-36081043200,11.2,10.5,12.1,1166,"
,  
(40.6913418353, -73.7759209195)",36081043200,081,Queens,043200
2017,3651000-36005039902,11.4,10.6,12.2,5279,"
,  
(40.8604226959, -73.8947477333)",36005039902,005,Bronx,039902
2017,3651000-36085020700,10.5,10,11.2,6399,"
,  
(40.6394572766, -74.1331567869)",36085020700,085,Staten Island,020700
2017,3651000-36047059300,9.1,8.5,9.9,2228,"
,  
(40.7259942963, -73.9383344281)",36047059300,047,Brooklyn,059300
2017,3651000-36061003400,8.9,8.2,9.8,6612,"
,  
(40.7290091778, -73.9814618053)",36061003400,061,Manhattan,003400
2017,3651000-36081092800,8.2,7.8,8.8,3246,"
,  
(40.5738363205, -73.8519275091)",36081092800,081,Queens,092800
2017,3651000-36085000800,9,8.5,9.6,5583,"
,  
(40.6119577589, -74.0677152263)",36085000800,085,Staten Island,000800
2017,3651000-36047026500,12,11.3,12.8,3838,"
,  
(40.6869044888, -73.9446206059)",36047026500,047,Brooklyn,026500
2017,3651000-36047002300,12.5,11.7,13.4,4247,"
,  
(40.6995619043, -73.9832758442)",36047002300,047,Brooklyn,002300
2017,3651000-36081005700,8.5,8,9,4321,"
,  
(40.7569544419, -73.9256721136)",36081005700,081,Queens,005700
2017,3651000-36081050800,11.6,10.8,12.4,1837,"
,  
(40.7069840026, -73.7554219314)",36081050800,081,Queens,050800
2017,3651000-36081060000,10.8,10.2,11.5,1056,"
,  
(40.6950630474, -73.7333032083)",36081060000,081,Queens,060000
2017,3651000-36047044500,8.6,8,9.3,4446,"
,  
(40.704992711, -73.9197067151)",36047044500,047,Brooklyn,044500
2017,3651000-36081058300,8.9,8.6,9.4,3254,"
,  
(40.7019379901, -73.8976202662)",36081058300,081,Queens,058300
2017,3651000-36047037401,9.1,8.7,9.7,4301,"
,  
(40.5879979119, -73.9677549427)",36047037401,047,Brooklyn,037401
2017,3651000-36081026500,6.9,6.6,7.3,4494,"
,  
(40.7450364817, -73.893368238)",36081026500,081,Queens,026500
2017,3651000-36047090600,13.8,13,14.5,4581,"
,  
(40.6701302093, -73.9088594603)",36047090600,047,Brooklyn,090600
2017,3651000-36081143500,7.6,7.1,8.1,2199,"
,  
(40.7529288049, -73.7702226736)",36081143500,081,Queens,143500
2017,3651000-36081055300,8.4,7.9,9,2454,"
,  
(40.6988790547, -73.9065018315)",36081055300,081,Queens,055300
2017,3651000-36061007400,8.3,7.8,8.9,4319,"
,  
(40.7462135805, -73.9840828639)",36061007400,061,Manhattan,007400
2017,3651000-36061029900,10.9,10.1,11.7,3834,"
,  
(40.8644977587, -73.9163002482)",36061029900,061,Manhattan,029900
2017,3651000-36085005000,9.2,8.7,9.7,3847,"
,  
(40.6041456349, -74.0860217159)",36085005000,085,Staten Island,005000
2017,3651000-36061005700,7.6,7.3,8,2781,"
,  
(40.7294159676, -73.992391154)",36061005700,061,Manhattan,005700
2017,3651000-36061004500,7.9,7.5,8.4,1136,"
,  
(40.7205701342, -73.9993911814)",36061004500,061,Manhattan,004500
2017,3651000-36005045600,11.5,11,12.2,2896,"
,  
(40.8887105751, -73.8211507481)",36005045600,005,Bronx,045600
2017,3651000-36047001800,8,7.3,8.7,2105,"
,  
(40.65580265, -74.0257234933)",36047001800,047,Brooklyn,001800
2017,3651000-36047068600,9.6,9.2,10.2,1533,"
,  
(40.6148225836, -73.9172816233)",36047068600,047,Brooklyn,068600
2017,3651000-36085027900,9.1,8.4,10.1,2137,"
,  
(40.574959156, -74.1491070565)",36085027900,085,Staten Island,027900
2017,3651000-36005041100,10.3,9.7,11,2931,"
,  
(40.8755619876, -73.8871521232)",36005041100,005,Bronx,041100
2017,3651000-36061012500,7,6.7,7.3,2719,"
,  
(40.7598407155, -73.9841752715)",36061012500,061,Manhattan,012500
2017,3651000-36085017009,9.5,8.7,10.3,4299,"
,  
(40.5432028659, -74.1898281432)",36085017009,085,Staten Island,017009
2017,3651000-36047033100,10.9,10.5,11.5,4520,"
,  
(40.6641581135, -73.9420074211)",36047033100,047,Brooklyn,033100
2017,3651000-36081099200,12.5,11.8,13.4,3803,"
,  
(40.5926424157, -73.7670153238)",36081099200,081,Queens,099200
2017,3651000-36047034000,11,10.2,12,2248,"
,  
(40.572322245, -73.9964764222)",36047034000,047,Brooklyn,034000
